ticker1,ticker2,ssd
FRIGO.IS,FROTO.IS,6.2465811661379576
EREGL.IS,FRIGO.IS,6.2635177505732145
PETUN.IS,SASA.IS,6.275569800073754
EREGL.IS,GENTS.IS,6.278220332437741
CRDFA.IS,PETUN.IS,6.295941933646191
FRIGO.IS,PNSUT.IS,6.315149631577469
INVEO.IS,SARKY.IS,6.364506749519705
FRIGO.IS,GLRYH.IS,6.47427172492803
DESA.IS,ETYAT.IS,6.505116038789993
FRIGO.IS,SILVR.IS,6.5053286961701815
GLRYH.IS,MRGYO.IS,6.514614164349496
ALKIM.IS,MRGYO.IS,6.54597737944016
AKSA.IS,GEDIK.IS,6.551160954717602
ALGYO.IS,VKGYO.IS,6.553886297334088
AEFES.IS,BOSSA.IS,6.565538827131604
SARKY.IS,ZEDUR.IS,6.577728816136016
ALGYO.IS,ALKA.IS,6.596267087377328
FRIGO.IS,SEKFK.IS,6.601606578585461
ALGYO.IS,ALKIM.IS,6.646336272437111
ALKA.IS,VAKFN.IS,6.680642986740054
ALKA.IS,SARKY.IS,6.705001748302607
GEDIK.IS,SARKY.IS,6.760403854751075
SASA.IS,SEKFK.IS,6.781674141057124
ALKIM.IS,VAKFN.IS,6.798558110328031
CRDFA.IS,DESA.IS,6.857051935683785
PETUN.IS,VKGYO.IS,6.8637609244332225
GLRYH.IS,SASA.IS,6.864466645790003
EREGL.IS,PNSUT.IS,6.8841926533689275
ALKIM.IS,ZEDUR.IS,6.934026593298086
GENTS.IS,PETUN.IS,6.957167441913725
ALGYO.IS,KGYO.IS,6.974739312363113
GLRYH.IS,SARKY.IS,7.074962109897683
EGPRO.IS,HUBVC.IS,7.082896503944653
HUBVC.IS,PETUN.IS,7.117149469928904
FRIGO.IS,OZGYO.IS,7.145806372282891
SEKFK.IS,VAKFN.IS,7.172349295804565
ALKIM.IS,VKGYO.IS,7.218635513965523
ALKA.IS,SASA.IS,7.2427763424453815
KGYO.IS,VKGYO.IS,7.243435186714123
AKSA.IS,VKGYO.IS,7.250644710850565
ALKIM.IS,YUNSA.IS,7.313131086121814
OZGYO.IS,SEKFK.IS,7.3793162690355985
GLYHO.IS,SILVR.IS,7.442025683390739
EREGL.IS,SEKFK.IS,7.471014103487278
AKSA.IS,VAKFN.IS,7.53952399888658
ALKA.IS,VKGYO.IS,7.577453306603161
OYAKC.IS,TUKAS.IS,7.592810719683484
SASA.IS,ZEDUR.IS,7.597165496279899
EREGL.IS,TUKAS.IS,7.622840471580503
AKSA.IS,PETUN.IS,7.627205436053828
SASA.IS,VAKFN.IS,7.6289159084617495
AGHOL.IS,BOSSA.IS,7.639828806071819
AEFES.IS,BIMAS.IS,7.642685328622292
MRGYO.IS,YUNSA.IS,7.6768956685352805
EREGL.IS,MRGYO.IS,7.677986146080002
HUBVC.IS,PNSUT.IS,7.8507892057307345
PNSUT.IS,VKGYO.IS,7.859800357773679
AKSA.IS,SEKFK.IS,7.901463492914559
CRDFA.IS,PNSUT.IS,7.972644027379147
TUKAS.IS,VKGYO.IS,7.980584045339469
ALKA.IS,MRGYO.IS,8.082535311288211
EREGL.IS,KGYO.IS,8.089115909220027
CRDFA.IS,HUBVC.IS,8.142400465393052
INVEO.IS,KGYO.IS,8.168000948051656
AKSA.IS,ALGYO.IS,8.180309732697538
ALGYO.IS,FRIGO.IS,8.202882810165647
OYAKC.IS,PETUN.IS,8.211079588022244
KGYO.IS,VAKFN.IS,8.278238582349786
DESA.IS,SEKFK.IS,8.311808769264076
FRIGO.IS,OYAKC.IS,8.315189270149176
FROTO.IS,TURSG.IS,8.322535465990086
FRIGO.IS,GEDIK.IS,8.35026830916388
KGYO.IS,MRGYO.IS,8.355384219762527
SEKFK.IS,TUKAS.IS,8.36605573210727
MRGYO.IS,OYAKC.IS,8.366439543766546
DESA.IS,TURSG.IS,8.374939606273983
GEDIK.IS,SEKFK.IS,8.397053610730154
PETUN.IS,SARKY.IS,8.434994769982836
ALKA.IS,OYAKC.IS,8.461209427481776
AKSA.IS,FRIGO.IS,8.557832501535586
CRDFA.IS,SEKFK.IS,8.564516143017272
HUBVC.IS,SEKFK.IS,8.638210668814736
ALKA.IS,INVEO.IS,8.679014719439635
EREGL.IS,SASA.IS,8.699868014823096
EGPRO.IS,SILVR.IS,8.808424074270306
