Metric,"GGR Paper (US 1962-2002, 0 cost)",This Study (BIST 2012-2026)
Ann. Return %,~9.6%,13.07%
Ann. Vol %,~3.5%,10.26%
Sharpe,~N/A,1.274
Max DD %,N/A,20.1%
Total Return %,N/A,613.1%
