Method,"Net P/L (%, committed)",Ann. return (%),Ann. vol (%),Sharpe (committed),Sharpe (fully invested),Sortino,Max drawdown (%),% positive months,Avg pairs traded / window,Avg round-trips / pair
Distance (GGR SSD),613.09,13.07,10.26,1.274,1.27,1.957,20.06,61.3,19.76,1.99
Cointegration (Engle-Granger),727.07,14.13,11.35,1.245,1.234,1.928,26.43,59.1,19.8,2.02
