entry_z,sharpe,total_return_pct,max_drawdown,n_trades
1.5,-0.8740977766085811,-8.272274901611121,0.092598118297707,1874
1.75,-0.8146094094867413,-7.604729180586045,0.08915474634749661,1648
2.0,-0.7816969664271872,-7.190521245831382,0.0875413026022318,1492
2.25,-0.7447816447903917,-6.699069532044543,0.08427270016113592,1352
2.5,-0.6886010814104043,-6.047789884295762,0.07828065148394846,1233
2.75,-0.6410762948312173,-5.507656607305533,0.07380957337023353,1139
3.0,-0.6385515804559289,-5.302921371819858,0.06868921187415628,1036
