timesteps,val_sharpe,val_return_pct,val_trades,seed
25000,-0.9881156412641339,-3.049255637687487,211,0
50000,-0.5574831980679533,-2.2999300163686454,95,0
75000,-0.16649668305600335,-0.9583397987976139,155,0
100000,-0.6552563789948617,-2.8557989013525686,123,0
125000,-0.35152426836667644,-0.9098888970083263,131,0
150000,-0.8658034914130369,-3.5316761956750375,165,0
175000,0.17885844046705573,0.5269930732155981,113,0
200000,0.19231975839363544,0.5220306361265026,70,0
25000,0.053845548411953985,0.35286228070670056,227,1
50000,0.3976850193221271,4.197016935259357,380,1
75000,0.18230098727076746,1.459767414997848,341,1
100000,-0.0015623461232818362,-0.14855157620173864,410,1
125000,-0.2359422471920604,-2.3061425495034427,356,1
150000,0.0409511878268642,0.2762492539338357,301,1
175000,0.12923414590680674,0.7923805632896741,245,1
200000,-0.16383875183371738,-0.6704426272076236,132,1
25000,0.7460056989813859,5.833578001595696,257,2
50000,0.21547870417240053,1.320462597327987,306,2
75000,0.3967326552885384,1.1916823851920277,129,2
100000,0.5195252112836835,2.3918730427706425,200,2
125000,0.2505049607010041,1.060186936636498,155,2
150000,0.26960161437284086,1.0896372142229493,125,2
175000,0.3549429175327206,1.4178715672115594,124,2
200000,1.1461339290354606,1.3875283423067541,27,2
25000,-1.1918379010470095,-14.12728559357397,388,3
50000,-1.1167259071484223,-12.92879308886955,318,3
75000,-0.3633656544753455,-4.220678297591752,442,3
100000,-0.14350698011901744,-1.4834439238268993,438,3
125000,-0.10148998169328009,-0.7791036698910347,356,3
150000,0.538168868388202,3.602772548113653,335,3
175000,-0.10997259872418631,-1.0351716975099179,458,3
200000,-0.15772002521206877,-1.5325596646780015,431,3
25000,-2.1670848797206186,-21.869417987167804,1067,4
50000,-0.37948760211669635,-4.217429682166085,456,4
75000,-0.09565317716445085,-1.2382257113323525,403,4
100000,-0.86622933363252,-10.099002758727316,461,4
125000,-0.5555320801310722,-6.293524603416989,471,4
150000,-0.4212415026648672,-4.4642077290362625,418,4
175000,-0.2808096741139601,-2.8242737505122295,345,4
200000,-0.20987264312689563,-1.5530921349645177,247,4
