diff_observed,ci_low,ci_high,p_value,n_boot,block_len,comparison
-0.5672315380222055,-1.26628483635518,0.22166155768317533,0.926,2000,21,rolling_ens_vs_static_2sigma
-0.7075102664895997,-1.3992647759947527,0.049247613663387646,0.9665,2000,21,rolling_ens_vs_static_tuned_3.0sigma
-0.5881141929565862,-1.1023703770959121,0.03188800320947485,0.968,2000,21,rolling_ens_vs_frozen_ensemble
