policy,sharpe,total_return_pct,max_drawdown,n_trades,win_rate,avg_holding_days,trades_per_episode
static_2sigma,-0.038108774417073076,-0.9917849986111893,0.08449213612311025,2109.0,0.6173541963015647,56.366050260787105,1.4852112676056337
static_tuned_3.0sigma,0.10216995405032116,1.5264608474473196,0.06913717356556312,1481.0,0.5935178933153274,59.54355165428764,1.0429577464788733
flat_do_nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dqn_seed0,-0.10500644292623092,-1.6999433960800725,0.08218194565459806,3512.0,0.6190205011389521,32.78160592255125,2.473239436619718
dqn_seed1,-0.22606721134745938,-3.746688722553948,0.09020319520522004,3292.0,0.6269744835965978,44.493620899149455,2.3183098591549296
dqn_seed2,-0.7896029434722633,-5.55845294912507,0.07760762871220885,1081.0,0.484736355226642,12.325624421831638,0.7612676056338028
dqn_seed3,-0.29200703552372964,-4.8282024128013745,0.10907380351114616,3979.0,0.6270419703443076,32.219904498617744,2.802112676056338
dqn_seed4,0.1119556671673396,1.1490894146479969,0.06502718899257214,1797.0,0.6432943795214245,16.352253756260435,1.2654929577464789
dqn_mean_across_seeds,-0.2601455932204687,-2.9368396131824936,0.08481875241514905,2732.2,0.6002135379655849,27.634601899682103,1.9240845070422534
dqn_std_across_seeds,0.29833842437359354,2.4220112954019832,0.014614778585325582,1102.4549696019335,0.05827615893528449,11.776241701038082,0.7763767391562912
