,Baseline,3σ stop,Delta
Sharpe (committed),-0.3898771862180873,-0.1079279097189829,0.2819492764991044
Total return %,-54.185050887584495,-3.4445309573050586,50.74051993027943
Max drawdown %,69.11365040587589,9.50584133571394,-59.60780907016195
# trades,7219.0,4708.0,-2511.0
