,Baseline,Idea 1 (shock filter),Idea 2 (real prices),Idea 5 (3σ stop)
Sharpe (committed),-0.3898771862180876,-0.3733382817753232,-0.43177487888955013,-0.10792790971898293
Total return %,-54.18505088758469,-52.12029715409856,-57.347097033414215,-3.4445309573051475
Max drawdown %,69.11365040587599,67.55454555653301,68.74407395359383,9.505841335713978
# trades,7219.0,7072.0,7217.0,4708.0
