,Baseline,Real (CPI),Improvement
Low-infl 2010-2017,-0.1503906302458883,-0.10659598653388969,0.04379464371199862
High-infl 2018-2024,-0.6967020191220101,-0.7550048040445517,-0.058302784922541595
