,Baseline (nominal),Real (CPI-deflated),Delta
Sharpe (committed),-0.3898771862180873,-0.43177487888955,-0.041897692671462705
Sharpe (fully-invested),-0.3898771862180873,-0.43177487888955,-0.041897692671462705
Total return %,-54.185050887584495,-57.34709703341445,-3.1620461458299545
Max drawdown %,69.11365040587589,68.74407395359394,-0.36957645228194735
# trades,7219.0,7217.0,-2.0
