,Baseline,Shock-filtered,Delta
Sharpe (committed),-0.3898771862180876,-0.35276119569131953,0.03711599052676806
Sharpe (fully-invested),-0.3898771862180876,-0.35276119569131953,0.03711599052676806
Total return %,-54.18505088758469,-50.080127278417166,4.104923609167521
Max drawdown %,69.11365040587599,65.93615157689851,-3.177498828977477
# trades,7219.0,7006.0,-213.0
