Date,bist_try,adr_usd,usdtry
2012-01-03,5.000549793243408,6.504733085632324,1.8875999450683594
2012-01-04,4.911651611328125,6.43426513671875,1.8720999956130981
2012-01-05,4.94498872756958,6.418003082275391,1.8782999515533447
2012-01-06,4.900538921356201,6.412581443786621,1.8792999982833862
2012-01-09,4.878314018249512,6.4288434982299805,1.8795000314712524
2012-01-10,4.933876991271973,6.488470077514648,1.867900013923645
2012-01-11,4.900538921356201,6.466789245605469,1.8676999807357788
2012-01-12,4.978324890136719,6.569780349731445,1.8530000448226929
2012-01-13,4.933876991271973,6.591461658477783,1.8517999649047852
2012-01-17,5.01166296005249,6.705294132232666,1.850000023841858
2012-01-18,5.000549793243408,6.737818717956543,1.8398000001907349
2012-01-19,4.956100940704346,6.656510353088379,1.8301000595092773
2012-01-20,5.000549793243408,6.656510353088379,1.825600028038025
2012-01-23,5.01166296005249,6.689031600952148,1.8316999673843384
2012-01-24,4.989437103271484,6.62398624420166,1.8162000179290771
2012-01-25,4.967212200164795,6.748660087585449,1.819100022315979
2012-01-26,5.01166296005249,6.743238925933838,1.8043999671936035
2012-01-27,5.13389778137207,7.0142693519592285,1.7925000190734863
2012-01-30,5.156122207641602,7.0142693519592285,1.7726999521255493
2012-01-31,5.06722354888916,6.987165927886963,1.7861000299453735
2012-02-01,5.178347110748291,7.111840724945068,1.774399995803833
2012-02-02,5.189459800720215,7.133522987365723,1.7546000480651855
2012-02-03,5.256134510040283,7.296141624450684,1.756600022315979
2012-02-06,5.278357982635498,7.296141624450684,1.7522000074386597
2012-02-07,5.289470672607422,7.290721416473389,1.7568000555038452
2012-02-08,5.300581932067871,7.334085464477539,1.7467000484466553
2012-02-09,5.222795486450195,7.252777576446533,1.750599980354309
2012-02-10,5.189459800720215,7.100998878479004,1.7512999773025513
2012-02-13,5.267246246337891,7.2202534675598145,1.7587000131607056
2012-02-14,5.211683750152588,7.160626411437988,1.7669999599456787
2012-02-15,5.256134510040283,7.2202534675598145,1.7674000263214111
2012-02-16,5.333919048309326,7.317824363708496,1.7630000114440918
2012-02-17,5.422817230224609,7.545489311218262,1.760699987411499
2012-02-21,5.511716365814209,7.567172050476074,1.743399977684021
2012-02-22,5.389481067657471,7.442497730255127,1.7509000301361084
2012-02-23,5.222795486450195,7.306982517242432,1.756500005722046
2012-02-24,5.322807312011719,7.312404155731201,1.7625000476837158
2012-02-27,5.222795486450195,7.203991413116455,1.7616000175476074
2012-02-28,5.278357982635498,7.323245048522949,1.7640999555587769
2012-02-29,5.333919048309326,7.372032165527344,1.750499963760376
2012-03-01,5.300581932067871,7.33950662612915,1.7484999895095825
2012-03-02,5.289470672607422,7.328665733337402,1.7517999410629272
2012-03-05,5.200571060180664,7.171467304229736,1.766800045967102
2012-03-06,5.156122207641602,6.97090482711792,1.770400047302246
2012-03-07,5.1227850914001465,6.949222087860107,1.7913000583648682
2012-03-08,5.245020389556885,7.160626411437988,1.7798999547958374
2012-03-09,5.245020389556885,7.1281023025512695,1.7740999460220337
2012-03-12,5.256134510040283,7.084739685058594,1.7847000360488892
2012-03-13,5.289470672607422,7.160626411437988,1.7933000326156616
2012-03-14,5.422817230224609,7.138943672180176,1.7856999635696411
2012-03-15,5.311695575714111,7.084739685058594,1.805299997329712
2012-03-16,5.389481067657471,7.225673198699951,1.7955000400543213
2012-03-19,5.222795486450195,7.030533313751221,1.7935999631881714
2012-03-20,5.278357982635498,7.046792030334473,1.8033000230789185
2012-03-21,5.267246246337891,7.019690036773682,1.8203999996185303
2012-03-22,5.156122207641602,6.846231937408447,1.812399983406067
2012-03-23,5.145009517669678,6.857072353363037,1.8070000410079956
2012-03-26,5.200571060180664,7.1281023025512695,1.798799991607666
2012-03-27,5.222795486450195,7.0142693519592285,1.7847000360488892
2012-03-28,5.156122207641602,6.976325988769531,1.787500023841858
2012-03-29,5.0783371925354,6.857072353363037,1.7798999547958374
2012-03-30,5.06722354888916,6.829969882965088,1.7838000059127808
2012-04-02,5.022774696350098,6.824548244476318,1.7796000242233276
2012-04-03,4.989437103271484,6.781184196472168,1.7752000093460083
2012-04-04,4.978324890136719,6.689031600952148,1.7812999486923218
2012-04-05,4.978324890136719,6.73239803314209,1.792199969291687
2012-04-09,4.967212200164795,6.67277193069458,1.7929999828338623
2012-04-10,4.933876991271973,6.526414394378662,1.7973999977111816
2012-04-11,4.94498872756958,6.651089668273926,1.8125
2012-04-12,4.978324890136719,6.781184196472168,1.80649995803833
2012-04-13,4.956100940704346,6.667352199554443,1.7926000356674194
2012-04-16,4.900538921356201,6.564358711242676,1.7962000370025635
2012-04-17,4.844976902008057,6.564358711242676,1.7961000204086304
2012-04-18,4.833864688873291,6.510152339935303,1.7872999906539917
2012-04-19,4.81164026260376,6.510152339935303,1.7856999635696411
2012-04-20,4.81164026260376,6.5155744552612305,1.7918000221252441
2012-04-23,4.81164026260376,6.450526714324951,1.7900999784469604
2012-04-24,4.778304100036621,6.483049392700195,1.794600009918213
2012-04-25,4.800528049468994,6.564358711242676,1.7800999879837036
2012-04-26,4.8894267082214355,6.699873924255371,1.7692999839782715
2012-04-27,4.900538921356201,6.759501934051514,1.7646000385284424
2012-04-30,4.878314018249512,6.699873924255371,1.7590999603271484
2012-05-01,4.878314018249512,6.710715293884277,1.756100058555603
2012-05-02,4.800528049468994,6.629405975341797,1.7537000179290771
2012-05-03,4.989437103271484,6.857072353363037,1.7595000267028809
2012-05-04,4.989437103271484,6.862492561340332,1.7608000040054321
2012-05-07,4.94498872756958,6.824548244476318,1.7676000595092773
2012-05-08,4.8894267082214355,6.651089668273926,1.7598999738693237
2012-05-09,4.833864688873291,6.5155744552612305,1.7773000001907349
2012-05-10,4.844976902008057,6.548097610473633,1.7939000129699707
2012-05-11,4.733854293823242,6.45594596862793,1.7861000299453735
2012-05-14,4.644955158233643,6.179495334625244,1.7855000495910645
2012-05-15,4.633842945098877,6.119869232177734,1.8101999759674072
2012-05-16,4.667180061340332,6.114448547363281,1.82260000705719
2012-05-17,4.60050630569458,6.081925392150879,1.8222999572753906
2012-05-18,4.6116180419921875,5.962671279907227,1.8281999826431274
2012-05-21,4.500494956970215,5.9518303871154785,1.8335000276565552
2012-05-22,4.5449442863464355,6.011457443237305,1.8242000341415405
2012-05-23,4.500494956970215,5.881362438201904,1.843999981880188
2012-05-24,4.511607646942139,5.90846586227417,1.8496999740600586
2012-05-25,4.667180061340332,6.119869232177734,1.8461999893188477
2012-05-29,4.700517177581787,6.15781307220459,1.835800051689148
2012-05-30,4.567168712615967,5.973513126373291,1.8299000263214111
2012-05-31,4.522719383239746,5.870520114898682,1.8550000190734863
2012-06-01,4.622729778289795,6.011457443237305,1.864300012588501
2012-06-04,4.556056022644043,5.9518303871154785,1.8590999841690063
2012-06-05,4.556056022644043,5.968092918395996,1.8517999649047852
2012-06-06,4.567168712615967,6.060243606567383,1.8453999757766724
2012-06-07,4.578281879425049,6.060243606567383,1.8279999494552612
2012-06-08,4.556056022644043,6.103606700897217,1.8253999948501587
2012-06-11,4.5449442863464355,5.973513126373291,1.8075000047683716
2012-06-12,4.633842945098877,6.184916973114014,1.8286000490188599
2012-06-13,4.667180061340332,6.184916973114014,1.8236000537872314
2012-06-14,4.667180061340332,6.228280067443848,1.8183000087738037
2012-06-15,4.689404487609863,6.244543552398682,1.813099980354309
2012-06-18,4.667180061340332,6.239124298095703,1.8030999898910522
2012-06-19,4.644955158233643,6.331273078918457,1.8102999925613403
2012-06-20,4.667180061340332,6.385477542877197,1.7994999885559082
2012-06-21,4.678292751312256,6.266225814819336,1.7939000129699707
2012-06-22,4.822752475738525,6.439685821533203,1.8035000562667847
2012-06-25,4.844976902008057,6.44510555267334,1.8128000497817993
2012-06-26,4.8560895919799805,6.564358711242676,1.819000005722046
2012-06-27,4.989437103271484,6.705294132232666,1.8079999685287476
2012-06-28,4.967212200164795,6.613144874572754,1.8128999471664429
2012-06-29,5.089448928833008,6.802866458892822,1.82669997215271
2012-07-02,5.033886909484863,6.824548244476318,1.8042999505996704
2012-07-03,5.022774696350098,6.775763511657715,1.8039000034332275
2012-07-05,5.06722354888916,6.786604881286621,1.804800033569336
2012-07-06,5.189459800720215,6.905858516693115,1.8097000122070312
2012-07-09,5.222795486450195,6.97090482711792,1.818600058555603
2012-07-10,5.211683750152588,6.900437355041504,1.822700023651123
2012-07-11,5.145009517669678,6.873334884643555,1.8144999742507935
2012-07-12,5.089448928833008,6.808285236358643,1.8056000471115112
2012-07-13,5.167234897613525,6.976325988769531,1.81850004196167
2012-07-16,5.189459800720215,7.035951614379883,1.8092000484466553
2012-07-17,5.222795486450195,7.0142693519592285,1.8070000410079956
2012-07-18,5.178347110748291,6.9546427726745605,1.8034000396728516
2012-07-19,5.178347110748291,7.0142693519592285,1.8009999990463257
2012-07-20,5.189459800720215,6.9329609870910645,1.8020000457763672
2012-07-23,5.156122207641602,6.9546427726745605,1.8140000104904175
2012-07-24,5.267246246337891,6.998007774353027,1.8184000253677368
2012-07-25,5.367256164550781,7.247354507446289,1.8264000415802002
2012-07-26,5.600614547729492,7.491282939910889,1.8209999799728394
2012-07-27,5.722850799560547,7.691844940185547,1.8098000288009644
2012-07-30,5.695071220397949,7.643059730529785,1.8128000497817993
2012-07-31,5.528384685516357,7.485863208770752,1.8007999658584595
2012-08-01,5.511716365814209,7.312404155731201,1.7932000160217285
2012-08-02,5.533941745758057,7.464181423187256,1.8046000003814697
2012-08-03,5.695071220397949,7.697267055511475,1.799399971961975
2012-08-06,5.6672892570495605,7.697267055511475,1.7781000137329102
2012-08-07,5.6672892570495605,7.670164585113525,1.7755000591278076
2012-08-08,5.4728240966796875,7.475021839141846,1.784999966621399
2012-08-09,5.389481067657471,7.39913272857666,1.7786999940872192
2012-08-10,5.489492893218994,7.583434104919434,1.7821999788284302
2012-08-13,5.511716365814209,7.496704578399658,1.7839000225067139
2012-08-14,5.445041656494141,7.43707799911499,1.7933000326156616
2012-08-15,5.489492893218994,7.512965679168701,1.8003000020980835
2012-08-16,5.533941745758057,7.561750888824463,1.7967000007629395
