Date,AEFES.IS,AKBNK.IS,AKCNS.IS,AKSEN.IS,ALARK.IS,ALKIM.IS,ASELS.IS,AYGAZ.IS,BIMAS.IS,CCOLA.IS,CIMSA.IS,CLEBI.IS,DEVA.IS,DOHOL.IS,ECILC.IS,EGEEN.IS,ENKAI.IS,EREGL.IS,FROTO.IS,GARAN.IS,GOLTS.IS,HALKB.IS,INDES.IS,ISCTR.IS,KCHOL.IS,KLNMA.IS,KRDMD.IS,LOGO.IS,MGROS.IS,OTKAR.IS,SAHOL.IS,SELEC.IS,SISE.IS,TATGD.IS,TCELL.IS,THYAO.IS,TKFEN.IS,TOASO.IS,TTKOM.IS,TUPRS.IS,ULKER.IS,VAKBN.IS,XU100.IS,YKBNK.IS,ZOREN.IS
2010-01-01,1.0632692575454712,3.9759299755096436,2.924992084503174,,1.3794384002685547,0.2961678206920624,0.28322863578796387,0.5099226832389832,2.8036038875579834,13.824376106262207,0.47050780057907104,7.866337299346924,3.2447781562805176,0.8328706622123718,0.9017009735107422,4.667200565338135,1.4157226085662842,0.35515597462654114,0.3169068992137909,4.167275905609131,12.295144081115723,9.172494888305664,0.055427346378564835,0.4241892397403717,2.7015676498413086,0.6256589889526367,0.3520240783691406,0.4267755150794983,16.756038665771484,1.7354838848114014,3.6617605686187744,1.3944966793060303,0.6894610524177551,2.7953040599823,5.628139019012451,3.4420623779296875,3.0011916160583496,1.5232996940612793,2.2448174953460693,1.311274766921997,2.3712644577026367,3.8659305572509766,,1.6759586334228516,1.1402339935302734
2010-01-04,1.0696743726730347,3.934514284133911,2.8595075607299805,,1.3863705396652222,0.2984110713005066,0.3312768042087555,0.5144352912902832,2.8036038875579834,13.824376106262207,0.4736238420009613,8.190244674682617,3.3364386558532715,0.8090744018554688,0.9869009852409363,4.743712425231934,1.405537486076355,0.35515597462654114,0.32394930720329285,4.134464263916016,12.295144081115723,9.094761848449707,0.056115731596946716,0.4241892397403717,2.713791608810425,0.6169695854187012,0.3520240783691406,0.4267755150794983,16.756038665771484,1.791467308998108,3.6938819885253906,1.433858036994934,0.7154089212417603,2.831606864929199,5.681235313415527,3.502983331680298,2.976891279220581,1.516845464706421,2.2546629905700684,1.333312749862671,2.411684036254883,3.9024014472961426,533.67919921875,1.6454870700836182,1.1402339935302734
2010-01-05,1.0632692575454712,3.9759299755096436,2.8595075607299805,,1.4210294485092163,0.302898645401001,0.33380529284477234,0.5279730558395386,2.8240673542022705,13.445623397827148,0.4829714000225067,8.190244674682617,3.373103141784668,0.8170064687728882,0.9798009991645813,5.126269340515137,1.4972037076950073,0.36315497756004333,0.33099165558815,4.232903480529785,12.672296524047852,8.861563682556152,0.05714854225516319,0.4241892397403717,2.89715576171875,0.6082801818847656,0.3576114773750305,0.4630111753940582,16.756038665771484,1.8474507331848145,3.7260029315948486,1.4732187986373901,0.7154089212417603,2.886060953140259,5.893618106842041,3.502983331680298,3.159148931503296,1.5813918113708496,2.303891897201538,1.3884084224700928,2.425156593322754,4.030050754547119,541.1481323242188,1.7064307928085327,1.1547590494155884
2010-01-06,1.0760794878005981,3.955223560333252,2.9031636714935303,,1.5042115449905396,0.31636080145835876,0.3262189030647278,0.518947958946228,2.8240673542022705,13.634998321533203,0.4829714000225067,8.097701072692871,3.391434907913208,0.8170064687728882,1.0082011222839355,5.049758434295654,1.4870179891586304,0.36475464701652527,0.3327522277832031,4.232903480529785,12.672296524047852,9.017029762268066,0.056804586201906204,0.4241892397403717,2.9093806743621826,0.6169695854187012,0.3631996512413025,0.46703729033470154,16.756038665771484,1.8698440790176392,3.6617605686187744,1.4844650030136108,0.7191157341003418,2.922363519668579,6.052905082702637,3.472522020339966,3.2502782344818115,1.5749372243881226,2.402348518371582,1.3884084224700928,2.5194685459136963,3.993579626083374,545.4711303710938,1.7369029521942139,1.1765470504760742
2010-01-07,1.0824847221374512,3.955223560333252,3.0559616088867188,,1.5180754661560059,0.31860455870628357,0.34644967317581177,0.5234604477882385,2.8240673542022705,13.729687690734863,0.4985514283180237,8.282791137695312,3.373103141784668,0.8170064687728882,1.001100778579712,5.075261116027832,1.4972037076950073,0.35835525393486023,0.3362733721733093,4.298530101776123,12.672296524047852,8.939295768737793,0.05749296769499779,0.4241892397403717,2.89715576171875,0.6691080331802368,0.3631996512413025,0.471063494682312,16.756038665771484,1.8810408115386963,3.6617605686187744,1.4844650030136108,0.7191157341003418,2.886060953140259,6.212193489074707,3.4116010665893555,3.2502782344818115,1.6330291032791138,2.4121944904327393,1.3884084224700928,2.5329415798187256,3.97534441947937,549.72607421875,1.7572181224822998,1.191072940826416
2010-01-08,1.0824847221374512,3.955223560333252,3.186931848526001,,1.5180754661560059,0.3141170144081116,0.34644967317581177,0.5234604477882385,2.8240673542022705,13.445623397827148,0.4985514283180237,8.329063415527344,3.391434907913208,0.8328706622123718,1.001100778579712,5.049758434295654,1.5175728797912598,0.35835525393486023,0.34507641196250916,4.331341743469238,12.82315731048584,8.861563682556152,0.05714854225516319,0.4241892397403717,2.89715576171875,0.6691080331802368,0.3631996512413025,0.4609980881214142,16.756038665771484,1.9370238780975342,3.7581236362457275,1.4844650030136108,0.7228218913078308,2.9405148029327393,6.106001377105713,3.350680112838745,3.3110313415527344,1.6620749235153198,2.5106513500213623,1.3773893117904663,2.4925217628479004,3.993579626083374,547.97607421875,1.7673752307891846,1.2128609418869019
2010-01-11,1.0824847221374512,3.8930976390838623,3.1432745456695557,,1.580462098121643,0.3141170144081116,0.34644967317581177,0.518947958946228,2.8240673542022705,13.1615629196167,0.4985514283180237,8.236517906188965,3.4464316368103027,0.840802788734436,0.9940010905265808,5.483323574066162,1.4768327474594116,0.36315497756004333,0.34507641196250916,4.232903480529785,12.82315731048584,8.550631523132324,0.056804586201906204,0.4241892397403717,2.8115861415863037,0.6560733914375305,0.37996259331703186,0.4529457092285156,16.756038665771484,1.9482207298278809,3.6617605686187744,1.518202543258667,0.7191157341003418,2.904212236404419,6.052905082702637,3.350680112838745,3.2806551456451416,1.6459381580352783,2.584493637084961,1.3663699626922607,2.505995035171509,3.920637369155884,539.2081298828125,1.7267457246780396,1.19833505153656
2010-01-12,1.0696743726730347,3.830974817276001,3.0777902603149414,,1.5527350902557373,0.30738624930381775,0.3413918912410736,0.518947958946228,2.8240673542022705,12.972187995910645,0.4923194944858551,8.236517906188965,3.4097671508789062,0.8249385952949524,0.9869009852409363,5.304795742034912,1.45646333694458,0.3599553108215332,0.3433157801628113,4.232903480529785,12.370572090148926,8.39516544342041,0.05646015331149101,0.4241892397403717,2.7260162830352783,0.6560733914375305,0.3687870502471924,0.4428802728652954,16.756038665771484,1.9482207298278809,3.6617605686187744,1.5069564580917358,0.7079952359199524,2.886060953140259,5.999810218811035,3.2897582054138184,3.2199015617370605,1.6072100400924683,2.486037015914917,1.3663699626922607,2.4521028995513916,3.884166955947876,536.7611083984375,1.7165883779525757,1.1838099956512451
2010-01-13,1.0824847221374512,3.8102667331695557,3.121446371078491,,1.531939148902893,0.31187325716018677,0.3388633131980896,0.5234604477882385,2.8240673542022705,12.877501487731934,0.4923194944858551,8.190244674682617,3.391434907913208,0.8328706622123718,1.0295010805130005,5.355804920196533,1.4768327474594116,0.36475464701652527,0.3591611683368683,4.232903480529785,12.596867561340332,8.550631523132324,0.05646015331149101,0.4241892397403717,2.7626888751983643,0.6560733914375305,0.3687870502471924,0.44891950488090515,16.756038665771484,1.9370238780975342,3.6617605686187744,1.5294480323791504,0.7005814909934998,2.922363519668579,6.106001377105713,3.4116010665893555,3.2199015617370605,1.6136651039123535,2.486037015914917,1.3884084224700928,2.505995035171509,3.884166955947876,546.2691040039062,1.7165883779525757,1.220123052597046
2010-01-14,1.0824847221374512,3.8723905086517334,3.1432745456695557,,1.5250076055526733,0.31636080145835876,0.3413918912410736,0.5234604477882385,2.8036038875579834,12.688125610351562,0.495435506105423,8.282791137695312,3.391434907913208,0.8249385952949524,1.022400975227356,5.45781946182251,1.4462774991989136,0.367954283952713,0.35211873054504395,4.232903480529785,12.596867561340332,8.472898483276367,0.05749296769499779,0.4241892397403717,2.9093806743621826,0.6604186296463013,0.3687870502471924,0.4549587070941925,16.756038665771484,1.959417462348938,3.6617605686187744,1.5519405603408813,0.7042883038520813,2.9949686527252197,6.106001377105713,3.472522020339966,3.432537078857422,1.6459381580352783,2.486037015914917,1.4214657545089722,2.5194685459136963,3.8659305572509766,547.403076171875,1.7165883779525757,1.220123052597046
